"ID|""Title""|""Owning_Organization""|""Business_Process_Owner""|""Modified""|""Modified_By""|""Function""|""Site""|""Vendor_contact""|""Data_subject_type""|""Business_Process""|""SCOPE_Number""|""Life_Cycle_Status""|""Retired_Date""|""Description""|""Repository_Type""|""Subtype""|""Vendor_involved""|""SAP_Vendor_Number""|""SAP_Vendor_Name""|""Vendor_qualification""|""Country_collected""|""num_of_Data_Stakeholders_from_US""|""Adverse_Event_Information""|""Biometric_Data""|""Consumer_account_username_and_password""|""Credit_Card_Numbers""|""Criminal_or_judicial_records""|""Data_about_children_under_13""|""Data_about_teens_13_15_years_old""|""Data_about_teens_16_18_years_old""|""Digital_signature_data""|""Electronic_identification_data""|""Family_composition""|""Financial_account_number""|""Genetic_data""|""Government_ID""|""Identification_data""|""Image_sound_recordings""|""Other_health_or_medical_data""|""Personal_characteristics""|""Political_opinions""|""Precise_geolocation_data""|""Profession""|""PHI_as_defined_by_HIPAA""|""Racial_or_ethnic_origin""|""Religious_or_philosophical_beliefs""|""Sex_life""|""Trade_union_membership""|""Data_From_Children""|""ADM""|""RoPA_linked_to_IT_Asset""|""Unregistered_application_info""|""Inventory_Status""|""Inventory_Criteria""|""Inventory_Evidence""|""Lawfulness_Basis_Status""|""Lawfulness_Basis_Criteria""|""Lawfulness_Basis_Evidence""|""Notice_Status""|""Notice_Criteria""|""Notice_Evidence""|""Minimization_Status""|""Minimization_Criteria""|""Minimization_Evidence""|""Data_retention_Status""|""Data_Retention_Criteria""|""Data_Retention_Evidence""|""Reasonable_InfoSec_Status""|""Reasonable_InfoSec_Criteria""|""Reasonable_InfoSec_Evidence""|""Data_Subject_Rights_Status""|""Data_Subject_Rights_Criteria""|""Data_Subject_Rights_Evidence""|""Vendors_Status""|""Vendors_Criteria""|""Vendors_Evidence""|""custom_field_1""|""custom_field_2""|""custom_field_3""|""custom_field_4""|""custom_field_5""|""custom_field_6""|""custom_field_7""|""custom_field_8""|""custom_field_9""|""custom_field_10""|""Last_review_date""|""Last_reviewed_reviewer""|""XLS_Template_ID""|""Remediation_GUV_Number""|""California_relevancy""|""Item_Type""|""Path""|""Created""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"227|""PG Tube""|""GBS MY P&G SERVICES""|""Chin"," Bandy""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""BOSTON GO & TECH CENTER;#77""|""""|""Employee""|""IT Operations""|""E365""|""Leverage/Optimize""|""""|""Internal Video Collaboration tool similar to YouTube""|""Digital""|""Application""|""1""|""9122532.0""|""DXC Technology""|""Data Processor""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""2A862DB44C8A0274;#12116""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--46""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:46""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"228|""Resource Scheduler_Flexi""|""GBS MY P&G SERVICES""|""Khatri"," Nadia""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Staffing/Succession Planning""|""E003""|""Decommissioned""|""""|""Resource Scheduler tool is pilot application used in one single plant to help admins and team leads manage production lines. Employee skills", SKU," and schedules can be entered by the plant admins to help manage employee schedules and associate them with a specific SKU/Skill.""|""Digital""|""Application""|""1""|""""|""P&G""|""To be clarified""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""81F18377591049F1;#12752""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--47""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:48""",,,,,,,,,,,,,,,,,,,,,,,,,,
"229|""SAP Payroll Control Center""|""GBS MY P&G SERVICES""|""Short"," Michael""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""CINCINNATI GENERAL OFFICES;#105""|""""|""Employee""|""Payroll""|""E100""|""Leverage/Optimize""|""""|""SAP Application which enables the execution and validation of payroll""|""Digital""|""Application""|""1""|""15020768.0""|""SAP AG""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""B4E7B5345A1F30AE;#13108""|""""|""In line with SCOPE""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""OLD Irisk""|""OLD Irisk""|""In line with SCOPE""|""OLD Irisk""|""OLD Irisk""|""In line with SCOPE""|""OLD Irisk""|""OLD Irisk""|""In line with SCOPE""|""OLD Irisk""|""OLD Irisk""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--48""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:48""",,,,,,,,,,,,,,,,,,,,,,,,,
"230|""SAP-ERP (Human Resources)""|""GBS MY P&G SERVICES""|""Eapen"," Bently""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Employee Data Management""|""E003""|""Leverage/Optimize""|""""|""Global SAP Platform Supporting HR Services including:- Talent Management (e.g. Performance Management)- Payroll- Compensation (includes Salary Planning and  Stock Options and International Stock Ownership Plan)- Benefits (non-US)- Employee and Organization Master Data Management- Relocation (EPIC)- Travel Expense Accounting (Mexico and Panama only)""|""Digital""|""Application""|""1""|""9122532.0""|""DXC Technology""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""1""|""1""|""0""|""0""|""0""|""1""|""1""|""0""|""1""|""1""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""FBC30F8F4E7A041B;#13625""|""""|""In line with SCOPE""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""1567273""|""1567273""|""In line with SCOPE""|""1567273""|""1567273""|""In line with SCOPE""|""1567273""|""1567273""|""In line with SCOPE""|""GDPR Info Sec review by TISL""|""GDPR Info Sec review by TISL""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--49""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:50""",,,,,,,,,,,,,,,,,,,,,,,,,
"232|""SAP-Netweaver (HR Portal)""|""GBS MY P&G SERVICES""|""Eapen"," Bently""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Employee Data Management""|""E003""|""Leverage/Optimize""|""""|""SAP Netweaver (formerly Enterprise Portal) is a web application server from SAP (JEE Server).  It used as the web platform for Life & Career (HR and Employee Portal) and serves as a java applicaiton server for custom java applications in HRSS.""|""Digital""|""Application""|""1""|""9122532.0""|""DXC Technology""|""Data Processor""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""37565EFE4E8F038C;#12231""|""""|""In line with SCOPE""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""1568034""|""1568034""|""In line with SCOPE""|""1568034""|""1568034""|""In line with SCOPE""|""1568034""|""1568034""|""In line with SCOPE""|""1568034""|""1568034""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--51""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:51""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"233|""Service Awards System""|""GBS MY P&G SERVICES""|""Khatri"," Nadia""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Compensation & Rewards""|""E018""|""Leverage/Optimize""|""""|""Pick up eligible employee and award the Service Award""|""Digital""|""Application""|""1""|""15034951.0""|""Engage2Excel""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""4A3C52174EB01F3A;#12374""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--52""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:54""",,,,,,,,,,,,,,,,,,,,,,,,,
"234|""SMTP Backbone""|""GBS MY P&G SERVICES""|""Mascolino"," Mark""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""CINCINNATI GENERAL OFFICES;#105""|""""|""Employee""|""IT Operations""|""E014""|""Leverage/Optimize""|""""|""SMTP Backbone  - part of Email service""|""Digital""|""Application""|""1""|""9122532.0""|""DXC.technology (former Hewlett-Packard ENTERPRISE / HPE) - GUV""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""5E7C5F8F55F839E1;#12514""|""""|""In line with SCOPE""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""1385228""|""1385228""|""In line with SCOPE""|""1385228""|""1385228""|""In line with SCOPE""|""1385228""|""1385228""|""In line with SCOPE""|""1385228""|""1385228""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--53""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:54""",,,,,,,,,,,,,,,,,,,,,,,,,
"235|""Social Security Tax""|""GBS MY P&G SERVICES""|""Schubert"," Jason""|""2019-10-17 07:10:54""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""CINCINNATI GENERAL OFFICES;#105""|""""|""Employee""|""Relocation Services""|""E011""|""Leverage/Optimize""|""""|""SAP application that pulls in a monthly file from PwC (Use to be E&Y) for the Home/Host social security flags in SAP. These flags are used by payroll to determine when an Expat pays Social Security or not for their Home or Host country. For non-automated countries and non-SAP countries"," an email notification is created and sent to payroll contacts""|""Digital""|""Application""|""1""|""20517838.0""|""Price Waterhouse Coopers""|""Data Processor""|""UNITED STATES""|"">= 1",000 - < 20,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""1""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""""|""E911F87B583D3190""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""1647485""|""1647485""|""Work in Progress""|""1647485""|""1647485""|""Work in Progress""|""1647485""|""1647485""|""Work in Progress""|""1647485""|""1647485""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--54""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:55""",,,,,,,,,,,,,,,,,,,,,,,,,
"236|""SUI/FUI""|""GBS MY P&G SERVICES""|""Chavarria"," Yaunny""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Payroll""|""E100""|""Leverage/Optimize""|""""|""Federal and State Unemployment Reporting - SAP to FLS to TBS  - produces request for payment for federal & state unemployment""|""Digital""|""Application""|""1""|""15020768.0""|""SAP AMERICA INC""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""4A3C52144EB01822;#12367""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--55""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:56""",,,,,,,,,,,,,,,,,,,,,,,,,
"237|""Towers Watson One Place""|""GBS MY P&G SERVICES""|""Benton"," Maureen""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""BOSTON GO & TECH CENTER;#77""|""""|""Employee""|""Benefits and Pension Administration""|""E005""|""Leverage/Optimize""|""""|""document management system by TPV for storing valuations produced by US Benefits and F&A team which could include Highly sensitive PII.""|""Digital""|""Application""|""1""|""15051497.0""|""Towers Watson""|""Data Processor""|""UNITED STATES""|"">= 1",000 - < 20,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""1""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""DA77FC59543F1CFD;#13399""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""1656823""|""1656823""|""Work in Progress""|""1656823""|""1656823""|""Work in Progress""|""1656823""|""1656823""|""Work in Progress""|""1656823""|""1656823""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--56""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:57""",,,,,,,,,,,,,,,,,,,,,,,,,,
"238|""Unemployment - Employment Verification""|""GBS MY P&G SERVICES""|""Espinoza"," Gerardo""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Compliance""|""E026""|""Decommissioned""|""""|""Datafeed for the 3rd party management of the total US unemployment claims and employment verifications.  This data we provide to Equifax/Talx will match up with unemployment claims from the different states that a former employee files for unemployment.  This data is used by verifiers that request data for an employee that is applying for a loan or buying a large purchase.""|""Digital""|""Application""|""1""|""""|""Equifax Workforce Solutions""|""Data Processor""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""868187815CB42347;#12772""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--57""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:12:59""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"239|""United Health Care/myUHC.COM""|""GBS MY P&G SERVICES""|""Khatri"," Nadia""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Benefits and Pension Administration""|""E004""|""Leverage/Optimize""|""""|""United Healthcare site is accessed by the US employees through the Benefits Online tool (SaaS solution managed by the vendor Conduent) to get details of their health care benefits", manage claims," and access other details related to their health care information.""|""Digital""|""Application""|""1""|""15325411.0""|""United HealthCare""|""Data Controller""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""1""|""1""|""1""|""0""|""0""|""1""|""0""|""0""|""1""|""1""|""0""|""0""|""1""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""8F72AF1652EA7BD0;#12840""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--58""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:13:01""",,,,,,,,,,,,,,,,,,,,,,,
"240|""United Way for Gillette South Boston""|""GBS MY P&G SERVICES""|""Fortado"," Wendy""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""BOSTON GO & TECH CENTER;#77""|""Emily Stanford""|""Employee""|""Payroll""|""E510""|""Leverage/Optimize""|""""|""Tracks employee participation in corporate-sponsored charitable giving""|""Digital""|""Application""|""1""|""20176827.0""|""UNITED WAY OF MASSACHUSETTS BAY""|""Data Controller""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""D64BD6A0582413D4;#13376""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--59""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:13:02""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"241|""US Benefits UHC Subcontractor Rewards - Rally""|""GBS MY P&G SERVICES""|""Khatri"," Nadia""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Benefits and Pension Administration""|""E004""|""Leverage/Optimize""|""""|""Rally  is an application used for a Health Questionnaire that is part of our wellness program.~ Employees access it from the UHC site.~ Rally is not a subcontractor  of UHC ; it is our understanding that UHC purchased the business.""|""Digital""|""Application""|""1""|""15325411.0""|""UHC - United Health Care""|""Data Controller""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""1""|""1""|""0""|""0""|""1""|""0""|""0""|""1""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""9090953E582908D8;#12858""|""""|""In line with SCOPE""|""OLD Irisk""|""OLD Irisk""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--60""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:13:03""",,,,,,,,,,,,,,,,,,,,,,,,,
"242|""Alight Solutions (USRP)""|""GBS MY P&G SERVICES""|""Khatri"," Nadia""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""CINCINNATI GENERAL OFFICES;#105""|""""|""Employee""|""Stock Plan Administration""|""E007""|""Leverage/Optimize""|""""|""Record keeper for US Retirements Plans (PST", 401K," ETC...)""|""Digital""|""Application""|""1""|""15328054.0""|""Alight ""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""1""|""1""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""EAE5ED96517E1B9E;#13500""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""OLD Irisk""|""OLD Irisk""|""Work in Progress""|""OLD Irisk""|""OLD Irisk""|""Not started""|""OLD Irisk""|""OLD Irisk""|""In line with SCOPE""|""OLD Irisk""|""OLD Irisk""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--61""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:13:04""",,,,,,,,,,,,,,,,,,,,,,,
"243|""Verify""|""GBS MY P&G SERVICES""|""McReynolds"," Libby""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""CINCINNATI GENERAL OFFICES;#105""|""""|""Employee""|""Payroll""|""E100""|""Leverage/Optimize""|""""|""Service provided by vendor to allow US P&G employees to verify employment when seeking credit confirmation""|""Digital""|""Application""|""1""|""15335618.0""|""Corporate Cost Control""|""Data Processor""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1A131A5A5C4B7CAD;#11980""|""""|""In line with SCOPE""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""1394024""|""1394024""|""In line with SCOPE""|""1394024""|""1394024""|""In line with SCOPE""|""1394024""|""1394024""|""In line with SCOPE""|""1394024""|""1394024""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--62""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:13:04""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"244|""Workforce Planning and Org Design""|""GBS MY P&G SERVICES""|""Hadden"," Lori""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""CINCINNATI GENERAL OFFICES;#105""|""""|""Employee""|""Strategy Review/Enrollment Planning""|""E027""|""Leverage/Optimize""|""""|""This application is used by HR folks for Reporting and Analytics for such things as enrollment data of employees. Example for things like how many active employees do we have globally", how many active employees by region, by band etc. This by count," not by identification of employees.""|""Digital""|""Application""|""1""|""985015354.0""|""ACCENTURE PUBLIC LIMITED COMPANY""|""Data Processor""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""DBE0DF2B5C416DCC;#13416""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--63""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:13:07""",,,,,,,,,,,,,,,,,,,,,,,,,
"245|""WorkFusion Automation - Payroll Inputs""|""GBS MY P&G SERVICES""|""Wogenstahl"," Leeann""|""2019-10-17 05:02:20""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""CINCINNATI GENERAL OFFICES;#105""|""""|""Employee""|""Payroll""|""E100""|""Design/Build""|""""|""Workfusion automation of the payroll manual inputs from external data sources""|""Digital""|""Application""|""1""|""15325718.0""|""WorkFusion""|""Data Processor""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""C17BC31B5C805A55;#13191""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--64""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:13:20""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"246|""Yello""|""GBS MY P&G SERVICES""|""SuarezLemmo"," Maria""|""2019-10-17 05:02:21""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""CINCINNATI GENERAL OFFICES;#105""|""""|""Employee""|""Recruiting/Talent Supply""|""E010""|""Leverage/Optimize""|""""|""Yello is used at conferences to gather candidate information for recruiting purposes.""|""Digital""|""Application""|""1""|""15321474.0""|""Yello""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""1""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0C9711F55BA95BF1;#11901""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""1069989""|""1069989""|""In line with SCOPE""|""1069989""|""1069989""|""In line with SCOPE""|""1069989""|""1069989""|""In line with SCOPE""|""1069989""|""1069989""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-Other--65""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 06:13:21""",,,,,,,,,,,,,,,,,,,,,,,,,
